web-scraper-order,name,pengalaman,rating,portofolio,deskripsi,logo-src,foto-src,layanan_lain,jangkauan,rating_user
1732002982-1,Yoga Konstruksi,0.11083564987851445,0.0,0.0,Penyedia jasa bangun dan renovasi rumah,https://dm5360p8ab28j.cloudfront.net/assets/v1/bp/logo-31968854c731b670515e302b1b54f1fdb8bd8bc9ca34ed819d685d17850bb563.png,https://dm5360p8ab28j.cloudfront.net/assets/v1/background_canvas/business-landing-heading-a605a1978f75809aafd52d4e6cd8b33d487625986d272975249b0c5fc8d8c1b7.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Kontraktor Bangunan']","['Tangerang Selatan', 'Tangerang Kota']",4
1732002990-2,Tukang Bangunan Bogor,0.2216712997570289,0.0,0.5026631641116848,"Kami melayani  Jasa pekerjaan sipil/bangunan baru ataupun renovasi  Rangka atap baja ringan, Canopy baja ringan  Plapon gypsum, Partisi gypsum  Interior dan Eksterior  Pengelasan  Meubelair   Kitchensett, Roomsett  Advertising   Neon Box, Neon Sign, Reklame, Billboard, Cutting sticker, Pylon, Backlight, Running teks",https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1789989/thumb_c716b775510cef51.jpg,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/banner/82473/desktop_IMG_20170323_153401.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Pembatas Ruangan & Partisi', 'Service Sofa', 'Bengkel Las', 'Jasa Pertukangan', 'Kabinet', 'Pengecatan', 'Plafon', 'Teralis', 'Tukang Taman', 'Kontraktor Bangunan', 'Jasa Pertukangan (Borongan)']","['Bogor Kota', 'Bogor Kabupaten', 'Sukabumi', 'Cianjur', 'Sumedang', 'Kuningan', 'Cirebon', 'Bandung']",3
1732002999-3,Tohaga Putra Mandiri cv.,0.0,0.0,0.46284330474687585,"Tohaga Putra Mandiri cv  adalah perusahaan yang bergerak dalam pembuatan furniture yang berkwalitas tinggi Kami sudah pengalaman lebih dari 10 tahun dibidang furniture Kami mengerjakan pembuatan furniture berdasarkan pada pesanan  custom  seperti  kitchen set, kamar set, wardrobe set, work station, meja ?recepsionist , meja meeting, buffet lcd tv, dll",https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1183803/thumb_0bdc8db1e1.jpg,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/banner/64926/desktop_beitha__9_.JPG,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Kabinet', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Tukang Kayu', 'Interior Designer', 'Kontraktor Bangunan']","['Sukabumi', 'Bogor Kota', 'Jakarta Timur', 'Jakarta Pusat', 'Jakarta Barat', 'Jakarta Selatan', 'Jakarta Utara', 'Depok', 'Bekasi Kota', 'Bekasi Kabupaten', 'Tangerang Kota', 'Tangerang Selatan', 'Tangerang Kabupaten', 'Bogor Kabupaten', 'Selengkapnya']",3
1732003017-4,Takin Renovasi & Baja,0.1756703488005048,0.0,0.17905223175104135,"Kami menerima Jasa Pemasangan Atap, Plafon, Instalasi Kanopi, Renovasi Rumah, dan Jasa Pertukangan di Jabodetabek",https://sejasa-production.s3.amazonaws.com/uploads/business_profile/business_logo/58787/thumb_IMG201612281715191491178405211.jpg,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/822838/alat_kayu2.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Kontraktor Bangunan', 'Jasa Pertukangan (Borongan)']","['Jakarta Timur', 'Tangerang Selatan', 'Tangerang Kabupaten', 'Bekasi Kota', 'Bekasi Kabupaten', 'Jakarta Utara', 'Jakarta Selatan', 'Jakarta Pusat', 'Jakarta Barat', 'Tangerang Kota', 'Depok', 'Bogor Kota', 'Bogor Kabupaten', 'Selengkapnya']",5
1732003025-5,Suryabaru Konstruksi,0.1756703488005048,0.0,0.17905223175104135,Kami Suryabaru Konstruksi bergerak dalam bidang las listrik dan konstruksi antara lain pekerjaan,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/867409/thumb_IMG_4681.JPG,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/867442/IMG_5593.JPG,"['Kelistrikan', 'Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan AC', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Tukang Ledeng Borongan', 'Tukang Taman', 'Interior Designer', 'Kontraktor Bangunan', 'Jasa Pertukangan (Borongan)', 'Tukang Ledeng']","['Surabaya', 'Sidoarjo', 'Situbondo', 'Pasuruan', 'Mojokerto']",4
1732003034-6,Sejahtera Bersama,0.4101406409964348,0.0,0.17905223175104135,Kami Sejahteara Bersama Jasa Service AC dan barang elektronika lain nya Bersedia di panggil ke tempat hub  0821 6479 6292 Alamat  Jlkapten sumarsono no30 medan Motto  Kepuasan anda Prestasi Kami,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1682469/thumb_dc23621d9e45599c.jpeg,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1682493/76037e3c3bbd65e7.jpeg,"['Kelistrikan', 'Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Service AC', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Service Mesin Cuci', 'Service Kulkas', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan AC', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Service AC Perusahaan', 'Kontraktor Bangunan', 'Service TV']",['Medan'],3
1732003044-7,Saryadi,0.31115500722590084,0.0,0.17905223175104135,"Melayani Kontraktor bangunan, jasa pertukangan borongan, perbaikan atap, perbaikan pagar, perbaikan lantai, plafon, pemasangan atap, pemasangan lantai, pemasangan pagar,kusen pintu alumunium, kaca tempret,  roollingdoor, foldinggate, dll",https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1374879/thumb_d22a9157632a4966.jpg,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/banner/70649/desktop_IMG-20171002-WA0011.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Kontraktor Bangunan', 'Jasa Pertukangan (Borongan)']",['Jakarta Timur'],5
1732003053-8,RN Painting Solution,0.2573524093680218,0.0,0.17905223175104135,RN Painting Solution sebagai salah satu bidang usaha yang bergerak dalam bidang pengecatan pengecatan merupakan pelengkap karena warna suatu bangunan yang dihasilkan oleh pekerjaan pengecatan dapat menjadi penentu sebagai ketetarikan perhatian setiap orang yang melihatnya,https://dm5360p8ab28j.cloudfront.net/assets/v1/bp/logo-31968854c731b670515e302b1b54f1fdb8bd8bc9ca34ed819d685d17850bb563.png,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/banner/66779/desktop_IMG-20170420-WA0031.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Kontraktor Bangunan']","['Jakarta Barat', 'Jakarta Timur', 'Jakarta Pusat', 'Jakarta Selatan', 'Jakarta Utara']",3
1732003072-9,RENOVASI & SERVICE,0.0,0.0,0.3581044635020827,Proses Renovasi Teliti Detail  Hasil Memuaskan,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/business_logo/115298/thumb_2ebe286224.jpg,https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/2566490/ccfc4f34cbb5cede.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Jasa Pertukangan', 'Kolam Ikan', 'Kolam Renang', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Pagar', 'Plafon', 'Teralis', 'Tukang Ledeng Borongan', 'Tukang Taman', 'Kontraktor Bangunan', 'Tukang Ledeng']",['Karawang'],3
1732003081-10,Purwa Engeneering O8zi1oi9z968,0.0,0.0,0.662571989993357,"pembangunan baru , renovasi total , Rumah , Kost , gudang , kantor , Dll",https://sejasa-production.s3.amazonaws.com/uploads/attachment/file/1272856/thumb_3a8d0d6e1f0f2dff.jpg,https://sejasa-production.s3.amazonaws.com/uploads/business_profile/banner/65463/desktop_7_-_Copy.jpg,"['Renovasi Rumah', 'Pemasangan Atap', 'Kusen Pintu & Jendela', 'Instalasi Kanopi', 'Waterproofing', 'Pembatas Ruangan & Partisi', 'Bengkel Las', 'Epoxy Lantai', 'Injeksi Beton', 'Jasa Pertukangan', 'Pemasangan Lampu', 'Pemasangan Lantai', 'Pemasangan Pagar', 'Pemasangan Pintu & Jendela', 'Pemasangan Wallpaper', 'Partisi', 'Pengeboran Sumur', 'Pengecatan', 'Perbaikan Atap', 'Perbaikan Lantai', 'Perbaikan Pagar', 'Plafon', 'Railing', 'Teralis', 'Interior Designer', 'Arsitek', 'Kontraktor Bangunan', 'Jasa Pertukangan (Borongan)']","['Bogor Kota', 'Depok', 'Jakarta Timur', 'Jakarta Selatan', 'Jakarta Pusat', 'Jakarta Utara', 'Sukabumi', 'Jakarta Barat', 'Surakarta (Solo)', 'Boyolali', 'Jepara', 'Semarang', 'Salatiga', 'Sragen', 'Bogor Kabupaten', 'Selengkapnya']",4
